epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3641.09,1.56095,2.25952,1.58222,0.45668,0.43775,0.43158,0.1956,1.64643,2.19945,1.68293,0.000554852,0.000554852,0.000554852
2,4824.49,1.66652,2.17396,1.67606,0.56199,0.49689,0.49468,0.2425,1.66703,2.07245,1.68796,0.00107387,0.00107387,0.00107387
3,6009.56,1.68389,2.06446,1.67706,0.5746,0.52581,0.54603,0.28043,1.69583,1.83007,1.72203,0.00155622,0.00155622,0.00155622
4,7204.58,1.66434,1.96752,1.65805,0.5538,0.53945,0.50039,0.23959,1.76392,1.80548,1.77066,0.00150197,0.00150197,0.00150197
5,8392.06,1.60997,1.88368,1.61456,0.65215,0.56168,0.60269,0.32081,1.58701,1.68623,1.6406,0.00144696,0.00144696,0.00144696
6,9578.51,1.57849,1.78513,1.58886,0.6568,0.55379,0.59704,0.33637,1.56156,1.63234,1.62506,0.00139195,0.00139195,0.00139195
7,10766.2,1.54557,1.73704,1.55976,0.75145,0.58044,0.65712,0.36685,1.50779,1.44593,1.57761,0.00133693,0.00133693,0.00133693
8,11974.4,1.51358,1.66986,1.54225,0.70967,0.6254,0.66896,0.38503,1.4724,1.38529,1.53657,0.00128192,0.00128192,0.00128192
9,13186.9,1.49288,1.64405,1.52816,0.77307,0.61527,0.70857,0.39901,1.50975,1.2986,1.54297,0.00122691,0.00122691,0.00122691
10,14398.4,1.46708,1.56532,1.50052,0.75761,0.64468,0.71108,0.42816,1.44465,1.27261,1.49745,0.0011719,0.0011719,0.0011719
11,15606.7,1.44062,1.50928,1.4844,0.68999,0.65121,0.67824,0.39815,1.4913,1.32823,1.53384,0.00111689,0.00111689,0.00111689
12,16816.7,1.41722,1.49799,1.46691,0.77389,0.69904,0.74726,0.4438,1.42739,1.15621,1.48817,0.00106188,0.00106188,0.00106188
13,18028.2,1.41144,1.46945,1.46177,0.74202,0.69833,0.73557,0.44684,1.40646,1.15547,1.47886,0.00100687,0.00100687,0.00100687
14,19239.4,1.37057,1.38501,1.42418,0.74209,0.70948,0.74257,0.4448,1.38917,1.15897,1.47605,0.000951857,0.000951857,0.000951857
15,20450.4,1.34948,1.33854,1.41515,0.82166,0.69321,0.76042,0.45711,1.37544,1.10053,1.45555,0.000896846,0.000896846,0.000896846
16,21658.9,1.34499,1.31246,1.41772,0.78545,0.68535,0.74522,0.4523,1.3853,1.09242,1.45831,0.000841835,0.000841835,0.000841835
17,22869.3,1.32951,1.28691,1.40077,0.80377,0.70518,0.76343,0.47261,1.35174,1.06707,1.42929,0.000786824,0.000786824,0.000786824
18,24080.9,1.31076,1.26215,1.38825,0.79837,0.71357,0.76764,0.47964,1.31611,1.04008,1.41109,0.000731813,0.000731813,0.000731813
19,25294.9,1.29524,1.26454,1.37888,0.82033,0.72363,0.78354,0.49014,1.33589,0.98792,1.4088,0.000676802,0.000676802,0.000676802
20,26508.4,1.27782,1.20758,1.365,0.84291,0.70078,0.78539,0.48223,1.3058,1.03344,1.40257,0.000621791,0.000621791,0.000621791
21,27719,1.17413,0.98539,1.31827,0.81274,0.70756,0.7723,0.49096,1.29209,1.01181,1.38541,0.00056678,0.00056678,0.00056678
22,28921.7,1.14102,0.93248,1.29191,0.82599,0.71883,0.77613,0.48802,1.30212,0.99891,1.39574,0.000511769,0.000511769,0.000511769
23,30123.8,1.11291,0.87113,1.26749,0.8151,0.72077,0.78271,0.49194,1.28042,0.98809,1.38889,0.000456758,0.000456758,0.000456758
24,31325.8,1.08994,0.84671,1.25859,0.82047,0.71794,0.78734,0.50553,1.29449,0.94884,1.38774,0.000401747,0.000401747,0.000401747
25,32529.2,1.06643,0.81408,1.23714,0.81772,0.73235,0.79428,0.50913,1.2728,0.90632,1.37825,0.000346736,0.000346736,0.000346736
26,33732.8,1.03816,0.78009,1.21877,0.81465,0.73283,0.79465,0.51149,1.28212,0.91482,1.39591,0.000291725,0.000291725,0.000291725
27,34936.7,1.01988,0.75232,1.20159,0.80907,0.73654,0.79121,0.52265,1.26247,0.89818,1.37688,0.000236714,0.000236714,0.000236714
28,36141.7,1.00319,0.72674,1.18444,0.87574,0.72675,0.81303,0.52737,1.25139,0.86884,1.36469,0.000181703,0.000181703,0.000181703
29,37344.4,0.97988,0.71333,1.18286,0.87014,0.72661,0.80118,0.52141,1.273,0.8699,1.37208,0.000126692,0.000126692,0.000126692
30,38551.6,0.9627,0.68472,1.1628,0.82808,0.74047,0.79914,0.51883,1.26118,0.87731,1.377,7.1681e-05,7.1681e-05,7.1681e-05
